year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrgation,source_file,timestamp
2020,3,11,14,44,39,0.59,0.63,0.51,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 14:44:39
2020,3,11,14,47,9,0.56,0.6,0.52,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 14:47:09
2020,3,11,14,49,39,0.56,0.54,0.54,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 14:49:39
2020,3,11,14,52,9,0.56,0.5,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 14:52:09
2020,3,11,14,54,39,0.57,0.53,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 14:54:39
2020,3,11,14,57,9,0.56,0.45,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 14:57:09
2020,3,11,14,59,40,0.56,0.46,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 14:59:40
2020,3,11,15,2,10,0.56,0.43,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:02:10
2020,3,11,15,4,40,0.56,0.44,0.59,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:04:40
2020,3,11,15,7,10,0.53,0.43,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:07:10
2020,3,11,15,9,40,0.54,0.44,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:09:40
2020,3,11,15,12,10,0.51,0.42,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:12:10
2020,3,11,15,14,41,0.53,0.48,0.54,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:14:41
2020,3,11,15,17,11,0.51,0.49,0.55,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:17:11
2020,3,11,15,19,41,0.78,0.49,0.54,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:19:41
2020,3,11,15,22,11,0.83,0.65,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:22:11
2020,3,11,15,24,41,0.83,0.66,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:24:41
2020,3,11,15,27,11,0.84,0.68,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:27:11
2020,3,11,15,29,42,0.84,0.67,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:29:42
2020,3,11,15,32,12,0.84,0.67,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:32:12
2020,3,11,15,34,42,0.84,0.67,0.55,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:34:42
2020,3,11,15,37,12,0.84,0.7,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:37:12
2020,3,11,15,39,42,0.83,0.68,0.55,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:39:42
2020,3,11,15,42,12,0.84,0.7,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:42:12
2020,3,11,15,44,42,0.84,0.71,0.55,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:44:42
2020,3,11,15,47,13,0.85,0.72,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:47:13
2020,3,11,15,49,43,0.84,0.72,0.55,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:49:43
2020,3,11,15,52,13,0.85,0.73,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:52:13
2020,3,11,15,54,43,0.85,0.73,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:54:43
2020,3,11,15,57,13,0.85,0.73,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:57:13
2020,3,11,15,59,43,0.85,0.73,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 15:59:43
2020,3,11,16,2,14,0.84,0.72,0.55,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:02:14
2020,3,11,16,4,44,0.85,0.73,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:04:44
2020,3,11,16,7,14,0.84,0.74,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:07:14
2020,3,11,16,9,44,0.85,0.74,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:09:44
2020,3,11,16,12,14,0.85,0.75,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:12:14
2020,3,11,16,14,44,0.85,0.74,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:14:44
2020,3,11,16,17,15,0.85,0.73,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:17:15
2020,3,11,16,19,45,0.84,0.73,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:19:45
2020,3,11,16,22,15,0.84,0.73,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:22:15
2020,3,11,16,24,45,0.84,0.73,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:24:45
2020,3,11,16,27,15,0.84,0.73,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:27:15
2020,3,11,16,29,45,0.84,0.73,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:29:45
2020,3,11,16,32,15,0.84,0.73,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:32:15
2020,3,11,16,34,46,0.84,0.73,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:34:46
2020,3,11,16,37,16,0.84,0.73,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:37:16
2020,3,11,16,39,46,0.84,0.74,0.55,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:39:46
2020,3,11,16,42,16,0.85,0.74,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:42:16
2020,3,11,16,44,46,0.85,0.74,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:44:46
2020,3,11,16,47,16,0.85,0.75,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:47:16
2020,3,11,16,49,47,0.85,0.74,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:49:47
2020,3,11,16,52,17,0.84,0.74,0.59,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:52:17
2020,3,11,16,54,47,0.85,0.74,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:54:47
2020,3,11,16,57,17,0.85,0.75,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:57:17
2020,3,11,16,59,47,0.84,0.74,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 16:59:47
2020,3,11,17,2,17,0.85,0.74,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:02:17
2020,3,11,17,4,47,0.85,0.75,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:04:47
2020,3,11,17,7,18,0.85,0.75,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:07:18
2020,3,11,17,9,48,0.84,0.75,0.6,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:09:48
2020,3,11,17,12,18,0.84,0.75,0.6,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:12:18
2020,3,11,17,14,48,0.84,0.74,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:14:48
2020,3,11,17,17,18,0.84,0.75,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:17:18
2020,3,11,17,19,48,0.85,0.75,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:19:48
2020,3,11,17,22,19,0.85,0.75,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:22:19
2020,3,11,17,24,49,0.85,0.75,0.59,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:24:49
2020,3,11,17,27,19,0.85,0.75,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:27:19
2020,3,11,17,29,49,0.85,0.75,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:29:49
2020,3,11,17,32,19,0.85,0.75,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:32:19
2020,3,11,17,34,49,0.85,0.75,0.56,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:34:49
2020,3,11,17,37,20,0.85,0.75,0.57,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:37:20
2020,3,11,17,39,50,0.85,0.75,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:39:50
2020,3,11,17,42,20,0.84,0.75,0.6,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:42:20
2020,3,11,17,44,50,0.85,0.75,0.6,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:44:50
2020,3,11,17,47,20,0.84,0.75,0.59,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:47:20
2020,3,11,17,49,50,0.85,0.76,0.59,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:49:50
2020,3,11,17,52,20,0.84,0.75,0.63,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:52:20
2020,3,11,17,54,51,0.84,0.75,0.6,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:54:51
2020,3,11,17,57,21,0.84,0.76,0.59,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:57:21
2020,3,11,17,59,51,0.84,0.76,0.6,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 17:59:51
2020,3,11,18,2,21,0.84,0.76,0.6,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:02:21
2020,3,11,18,4,51,0.84,0.76,0.58,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:04:51
2020,3,11,18,7,21,0.83,0.76,0.63,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:07:21
2020,3,11,18,9,52,0.84,0.76,0.59,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:09:52
2020,3,11,18,12,22,0.83,0.76,0.59,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:12:22
2020,3,11,18,14,52,0.83,0.76,0.61,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:14:52
2020,3,11,18,17,22,0.83,0.76,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:17:22
2020,3,11,18,19,52,0.83,0.76,0.61,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:19:52
2020,3,11,18,22,22,0.83,0.76,0.61,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:22:22
2020,3,11,18,24,53,0.82,0.76,0.63,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:24:53
2020,3,11,18,27,23,0.82,0.76,0.62,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:27:23
2020,3,11,18,29,53,0.82,0.76,0.61,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:29:53
2020,3,11,18,32,23,0.82,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:32:23
2020,3,11,18,34,53,0.82,0.76,0.62,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:34:53
2020,3,11,18,37,23,0.82,0.76,0.63,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:37:23
2020,3,11,18,39,53,0.82,0.76,0.62,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:39:53
2020,3,11,18,42,24,0.82,0.76,0.61,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:42:24
2020,3,11,18,44,54,0.81,0.76,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:44:54
2020,3,11,18,47,24,0.82,0.76,0.61,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:47:24
2020,3,11,18,49,54,0.81,0.76,0.61,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:49:54
2020,3,11,18,52,24,0.81,0.76,0.63,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:52:24
2020,3,11,18,54,54,0.81,0.76,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:54:54
2020,3,11,18,57,25,0.81,0.76,0.61,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:57:25
2020,3,11,18,59,55,0.81,0.76,0.63,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 18:59:55
2020,3,11,19,2,25,0.81,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:02:25
2020,3,11,19,4,55,0.81,0.76,0.62,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:04:55
2020,3,11,19,7,25,0.81,0.76,0.61,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:07:25
2020,3,11,19,9,55,0.81,0.76,0.62,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:09:55
2020,3,11,19,12,25,0.8,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:12:25
2020,3,11,19,14,56,0.8,0.76,0.62,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:14:56
2020,3,11,19,17,26,0.8,0.76,0.62,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:17:26
2020,3,11,19,19,56,0.8,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:19:56
2020,3,11,19,22,26,0.8,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:22:26
2020,3,11,19,24,56,0.8,0.76,0.62,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:24:56
2020,3,11,19,27,26,0.8,0.76,0.63,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:27:26
2020,3,11,19,29,57,0.8,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:29:57
2020,3,11,19,32,27,0.8,0.77,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:32:27
2020,3,11,19,34,57,0.8,0.77,0.67,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:34:57
2020,3,11,19,37,27,0.8,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:37:27
2020,3,11,19,39,57,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:39:57
2020,3,11,19,42,27,0.8,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:42:27
2020,3,11,19,44,58,0.8,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:44:58
2020,3,11,19,47,28,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:47:28
2020,3,11,19,49,58,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:49:58
2020,3,11,19,52,28,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:52:28
2020,3,11,19,54,58,0.8,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:54:58
2020,3,11,19,57,28,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:57:28
2020,3,11,19,59,58,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 19:59:58
2020,3,11,20,2,29,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:02:29
2020,3,11,20,4,59,0.79,0.76,0.67,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:04:59
2020,3,11,20,7,29,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:07:29
2020,3,11,20,9,59,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:09:59
2020,3,11,20,12,29,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:12:29
2020,3,11,20,14,59,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:14:59
2020,3,11,20,17,30,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:17:30
2020,3,11,20,20,0,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:20:00
2020,3,11,20,22,30,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:22:30
2020,3,11,20,25,0,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:25:00
2020,3,11,20,27,30,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:27:30
2020,3,11,20,30,0,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:30:00
2020,3,11,20,32,30,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:32:30
2020,3,11,20,35,1,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:35:01
2020,3,11,20,37,31,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:37:31
2020,3,11,20,40,1,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:40:01
2020,3,11,20,42,31,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:42:31
2020,3,11,20,45,1,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:45:01
2020,3,11,20,47,31,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:47:31
2020,3,11,20,50,2,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:50:02
2020,3,11,20,52,32,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 20:52:32
2020,3,11,20,55,2,0.79,0.76,0.66,0.55,0.01,False,plant_vase2.CSV,2020-03-11 20:55:02
2020,3,11,20,57,32,0.79,0.77,0.66,0.54,0.01,False,plant_vase2.CSV,2020-03-11 20:57:32
2020,3,11,21,0,2,0.79,0.76,0.66,0.55,0.01,False,plant_vase2.CSV,2020-03-11 21:00:02
2020,3,11,21,2,32,0.79,0.76,0.66,0.54,0.01,False,plant_vase2.CSV,2020-03-11 21:02:32
2020,3,11,21,5,3,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:05:03
2020,3,11,21,7,33,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:07:33
2020,3,11,21,10,3,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:10:03
2020,3,11,21,12,33,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:12:33
2020,3,11,21,15,3,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:15:03
2020,3,11,21,17,33,0.79,0.77,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:17:33
2020,3,11,21,20,3,0.79,0.77,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:20:03
2020,3,11,21,22,34,0.79,0.77,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:22:34
2020,3,11,21,25,4,0.79,0.77,0.66,0.54,0.01,False,plant_vase2.CSV,2020-03-11 21:25:04
2020,3,11,21,27,34,0.79,0.77,0.66,0.54,0.01,False,plant_vase2.CSV,2020-03-11 21:27:34
2020,3,11,21,30,4,0.79,0.77,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:30:04
2020,3,11,21,32,34,0.79,0.77,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:32:34
2020,3,11,21,35,4,0.79,0.77,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:35:04
2020,3,11,21,37,35,0.79,0.77,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:37:35
2020,3,11,21,40,5,0.79,0.77,0.67,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:40:05
2020,3,11,21,42,35,0.79,0.77,0.67,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:42:35
2020,3,11,21,45,5,0.79,0.77,0.67,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:45:05
2020,3,11,21,47,35,0.79,0.77,0.67,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:47:35
2020,3,11,21,50,5,0.79,0.77,0.67,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:50:05
2020,3,11,21,52,36,0.79,0.77,0.67,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:52:36
2020,3,11,21,55,6,0.79,0.77,0.67,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 21:55:06
2020,3,11,21,57,36,0.79,0.77,0.66,0.54,0.01,False,plant_vase2.CSV,2020-03-11 21:57:36
2020,3,11,22,0,6,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:00:06
2020,3,11,22,2,36,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:02:36
2020,3,11,22,5,6,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:05:06
2020,3,11,22,7,36,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:07:36
2020,3,11,22,10,7,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:10:07
2020,3,11,22,12,37,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:12:37
2020,3,11,22,15,7,0.79,0.76,0.67,0.54,0.01,False,plant_vase2.CSV,2020-03-11 22:15:07
2020,3,11,22,17,37,0.79,0.76,0.66,0.54,0.01,False,plant_vase2.CSV,2020-03-11 22:17:37
2020,3,11,22,20,7,0.79,0.76,0.66,0.54,0.01,False,plant_vase2.CSV,2020-03-11 22:20:07
2020,3,11,22,22,37,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:22:37
2020,3,11,22,25,8,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:25:08
2020,3,11,22,27,38,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:27:38
2020,3,11,22,30,8,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:30:08
2020,3,11,22,32,38,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:32:38
2020,3,11,22,35,8,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:35:08
2020,3,11,22,37,38,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:37:38
2020,3,11,22,40,8,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:40:08
2020,3,11,22,42,39,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:42:39
2020,3,11,22,45,9,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:45:09
2020,3,11,22,47,39,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:47:39
2020,3,11,22,50,9,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:50:09
2020,3,11,22,52,39,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:52:39
2020,3,11,22,55,9,0.79,0.76,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:55:09
2020,3,11,22,57,40,0.79,0.76,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 22:57:40
2020,3,11,23,0,10,0.79,0.76,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:00:10
2020,3,11,23,2,40,0.79,0.77,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:02:40
2020,3,11,23,5,10,0.79,0.76,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:05:10
2020,3,11,23,7,40,0.79,0.77,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:07:40
2020,3,11,23,10,10,0.79,0.77,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:10:10
2020,3,11,23,12,41,0.79,0.77,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:12:41
2020,3,11,23,15,11,0.79,0.77,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:15:11
2020,3,11,23,17,41,0.79,0.77,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:17:41
2020,3,11,23,20,11,0.79,0.77,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:20:11
2020,3,11,23,22,41,0.79,0.77,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:22:41
2020,3,11,23,25,11,0.79,0.76,0.63,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:25:11
2020,3,11,23,27,41,0.79,0.76,0.64,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:27:41
2020,3,11,23,30,12,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:30:12
2020,3,11,23,32,42,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:32:42
2020,3,11,23,35,12,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:35:12
2020,3,11,23,37,42,0.79,0.76,0.66,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:37:42
2020,3,11,23,40,12,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:40:12
2020,3,11,23,42,42,0.79,0.76,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:42:42
2020,3,11,23,45,13,0.79,0.77,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:45:13
2020,3,11,23,47,43,0.79,0.77,0.65,0.5300000000000001,0.01,False,plant_vase2.CSV,2020-03-11 23:47:43
